Name,Place Type,Tier,Star,Status,Tags,City,Country,Town,Address,Latitude,Longitude,Apple ID,Source Guides,Conflict
1886 Cafe & Bakery,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"604 Brazos St, Austin, TX  78701, United States",30.2680142,-97.7416384,I1A3C4FF3BF3EF473,Breakfast___Brunch,
24 Diner,Restaurant,Fair,Yes,Visited,,Austin,United States,Austin,"600 N Lamar Blvd, Unit 200, Austin, TX 78703, United States",30.2720673,-97.754154,I8F59AE0FB7BEFAF8,Fair_Restaurants_; Michael_s_Top_Faves,
400 Rabbits,Outdoors & attraction,,,Visited,,Austin,United States,Austin,"5701 W Slaughter Ln, Austin, TX  78749, United States",30.1989561,-97.8690489,I5D9DAEDB62E9A277,Fun_Locations,
54th Street,Restaurant,Fair,,Visited,,Austin,United States,San Marcos,"1303 Interstate 35 Frontage Rd, San Marcos, TX 78666, United States",29.8666358,-97.9408398,IA94CED78BEEED7DC,Fair_Restaurants_,
54th Street,Restaurant,Fair,,Visited,,Austin,United States,Austin,"127 E Ralph Ablanedo Dr, Austin, TX  78745, United States",30.1726599,-97.7833951,IC72CBAE82D1997C,Fair_Restaurants_,
85°C Bakery Cafe,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"11301 Lakeline Blvd, Unit 140, Austin, TX 78717, United States",30.4793629,-97.7998696,I331A439B6EDFE607,Breakfast___Brunch,
85°C Bakery Cafe,Dessert,,,Visited,,Austin,United States,Austin,"6929 Airport Blvd, Unit 197, Austin, TX  78752, United States",30.3366266,-97.7177048,IC95B85167D3925ED,Dessert,
Aba,Restaurant,Experience,Yes,Visited,,Austin,United States,Austin,"1011 S Congress Ave Building 2, Ste 180, Austin, TX 78704, United States",30.2532705,-97.7479215,IFC9173A009E2A2FE,Experience_Spots; Michael_s_Top_Faves,
Alamo Drafthouse Cinema,Outdoors & attraction,,,Visited,,Austin,United States,Austin,"1120 S Lamar Blvd, Austin, TX  78704, United States",30.255759,-97.763697,IEA91D2C56FDB8A5D,Fun_Locations,
ALC Steaks,Restaurant,Destination,,Visited,,Austin,United States,Austin,"1205 N Lamar Blvd, Austin, TX 78703, United States",30.2775273,-97.7507759,I76F168F64358705D,Designation,
Allday,Restaurant,Fair,,Not visited,,Austin,United States,Austin,"4300 Speedway, Unit 103, Austin, TX  78751, United States",30.3069985,-97.7299351,IE4F14F25885511E7,Fair_Restaurants_; Try_List,TIER+UNVISITED
Alpine Haus Restaurant,Restaurant,Fair,,Visited,,Austin,United States,New Braunfels,"251 S Seguin Ave, New Braunfels, TX  78130, United States",29.7019441,-98.1223861,I7AEB47704CE3E8D9,Fair_Restaurants_,
An Nyeong K Tofu & Bbq,Restaurant,Fair,,Not visited,,Austin,United States,Austin,"5011 Burnet Rd, Austin, TX  78756, United States",30.3216449,-97.7390042,IA6E1401A448A8031,Fair_Restaurants_; Try_List,TIER+UNVISITED
Andice General Store,Restaurant,Fair,,Visited,,Austin,United States,Florence,"6500 FM-970, Florence, TX  76527, United States",30.7825906,-97.8526521,IA5D6192034F1D967,Fair_Restaurants_,
Angel’s Icehouse,Bar,Fair,,Visited,,Austin,United States,Spicewood,"21815 State Highway 71, Spicewood, TX 78669, United States",30.3643145,-98.0708463,ID09849EB19D8F88F,Fair_Bars,
Animal World & Snake Farm Zoo,Outdoors & attraction,,,Visited,,Austin,United States,New Braunfels,"5640 S Interstate 35, New Braunfels, TX 78132, United States",29.6558918,-98.1870192,I2B62800CBFCDEBFD,Fun_Locations,
Ani’s Day & Night,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"7107 E Riverside Dr, Austin, TX  78741, United States",30.221016,-97.695625,I509CA94CFB020120,Breakfast___Brunch,
